@relation Features-weka.filters.unsupervised.attribute.Remove-R2-4

@attribute label {False,True}
@attribute Cosine numeric

@data
True,0
False,0
True,0.667424
True,0.098058
False,0
False,0.087039
True,0
True,0.253185
True,0.363636
True,0.243332
False,0.25
True,0.57735
False,0.105409
False,0
False,0.096225
False,0
False,0.45754
True,0.327327
False,0.228665
True,0.700649
False,0
False,0.294174
False,0
True,0.188982
False,0
True,0.8
True,0
True,0.559017
False,0
True,0.3371
False,0.066667
False,0
False,0.101274
False,0.158114
True,0
False,0.341565
True,0.536875
False,0.088388
True,0.476731
False,0.310087
True,0.169031
False,0.071067
False,0.227921
False,0
False,0.095346
False,0
True,0.625
True,0
False,0.136083
True,0.545545
True,0.566947
True,0.216506
True,0.269069
True,0.408248
True,0.377964
True,0.333333
True,0.774597
True,0.454545
True,0.169031
False,0
False,0.055556
False,0.348155
False,0
False,0.109109
False,0
True,0.466569
False,0
True,0.057735
False,0.142857
True,0.258199
False,0.1788
True,0.210819
True,0.257248
True,0.408248
False,0.09759
True,1
True,0.182574
True,0.140028
False,0.205738
True,1
False,0
False,0
True,0.175412
True,0.408248
False,0.258199
True,0.102062
False,0
False,0.267261
True,0
True,0.223607
False,0
True,0.801784
True,0.111111
False,0.108148
False,0.210819
False,0
True,0.069007
True,0.246183
False,0.102062
False,0.133631
False,0.100504
True,0.7
False,0.113228
False,0.123091
True,0.175412
False,0.142134
True,0.308607
True,0.676123
False,0.104828
True,0.375046
False,0
False,0.072739
True,0
True,0
True,0.444444
False,0.094491
False,0
False,0.149071
True,0.5625
True,0.489898
False,0.113961
True,0.144338
False,0
False,0.182574
False,0
True,0.361403
False,0.175412
False,0
False,0.123091
False,0
True,0.408248
True,0.073127
False,0.166667
True,0.464835
True,0.25
True,0.144338
True,0.091287
False,0.212132
True,0.09167
False,0.319801
False,0.288675
False,0.077152
True,0.102062
False,0.096225
False,0.113961
False,0.286446
True,0.433013
True,0.333333
True,0.310881
True,0
True,0.267261
False,0.182574
True,0.370625
True,0.201008
True,0.200446
True,0.251976
False,0.19803
True,0.223607
True,0
True,0.353553
False,0.09167
True,0.5
False,0
False,0.182574
False,0.102869
True,0.227185
False,0.16169
True,0.176777
True,0.281127
True,0.193649
True,0.298142
False,0.045835
True,0.339683
False,0
False,0
False,0.13159
True,0.503953
True,0.612372
True,0.75995
True,0.713024
True,0.5
False,0
True,0.089443
True,0.428571
False,0.316228
False,0.074125
False,0
True,0.687184
True,0.639602
False,0
True,0.737865
True,0.108786
False,0
True,0.436436
False,0
True,0.235702
True,0.585369
False,0.113961
True,0.372104
False,0
False,0.111803
True,0.412479
False,0
False,0.394676
True,0
True,0.2
False,0.308607
False,0.178174
False,0
False,0
True,0.285714
False,0.111803
False,0.202031
True,0.267261
True,0.426401
False,0.259281
True,0.866025
True,0.458831
True,0.53161
False,0.282843
False,0.141421
True,0.416667
True,0.365148
True,0.286039
True,0
True,0.27735
False,0.213201
False,0
True,0.655789
False,0
False,0
True,0.111111
True,0.408248
False,0.227921
True,0.27323
True,0
True,0.181902
False,0
False,0
True,0.174078
True,0.5
True,0.237171
False,0.1849
False,0.074125
False,0
False,0
True,0
True,0.235702
True,0.46291
False,0
False,0.433013
False,0.25
False,0
True,1
False,0
False,0.111803
False,0.272166
False,0
False,0
False,0.166667
False,0
False,0.208333
False,0.367484
False,0
True,0.612372
False,0.154303
False,0.33541
False,0
True,0.124035
True,0.117851
True,0
False,0.101015
False,0
False,0
True,0.267261
True,0.626224
False,0.154303
False,0.353553
False,0.204124
True,0.737865
False,0.129099
True,0.356348
False,0.322749
True,0.239046
False,0
True,0
False,0
False,0
False,0
True,0.201008
True,0.101015
False,0.076472
True,0.350823
True,0.117851
True,0
True,0.426401
True,0.46291
False,0.542326
True,0.333333
True,0.53033
True,0.730297
False,0
False,0.125
False,0
False,0
False,0.175412
False,0
True,0.090722
False,0
False,0
True,0.105409
True,0.571429
False,0.158114
True,0.298142
True,0.444444
True,0.282843
True,0.136083
True,0
True,0.258199
True,0
True,0.76277
False,0
True,0.33541
True,0.175412
False,0.109109
True,0.365636
False,0
False,0.357217
